mom_name,mom_ID,family,mom_2_tusks,mom_0_tusks,mom_left_tusk,mom_right_tusk,mom_accuracy,notes,first_date_calf_recorded,calf_age_years,calf_age_months,calf_age_weeks,calf_age_days,calf_ID,estim_year_birth,calf_female,calf_male,calf_sex,sex_confirmed_2020,sex_confirmed,calf_2_tusks,calf_0_tusks,calf_left_tusk,calf_right_tusk
Ines,gf0048,I,,1,,,3,20160522 following her closely; resting against her (ck earlier photos),20160522,4,,,,gf0048c,2012,,1,m,,yes,1,,,
,unknown tuskless female 1,,,1,,,3,20150524 photographed on trail cameras with two calves the younger one Suckled,20150524,5,,,,unknown,2010,1,,f,exclude,,,,,
,gf0027,M,,1,,,3,20151024 photographed standing next to her if not her calf then she belongs to gf0026 who is also tuskless,20151024,5.5,,,,gf0027c,2009,1,,f,√,,,,1,
,gf0031,C,,1,,,3,20151014 from age structure described in field notes:1) gf0031; 2) with a male calf of about 6 3) tuskless female with small breasts 13; 4) 2 year old 5) gf0030; 6) a less than one year. Based on breast development would assume that the 2 yr old belongs to gf0030 who is a young teenager. The rest likely to gf0031.,20151014,6,,,,gf0031c,2009,,1,m,,,,,,
,gf0056,O,,1,,,3,"20190928: gf0056 followed by an infant, a 3 year old tuskless female, a 6 year male, a tuskless female 10 no breasts",20190928,6,,,,gf0056c,2013,,1,m,,,1,,,
Nomada,gf0003,C,,1,,,3,20121019 leaning against her in a group,20121019,7,,,,gf0003c,2005,1,,f,,,1,,,
Iria,gf0045,I,,1,,,3,always with Iria; she was noted as pregnant in 20171016 (with a calf in 2019),2011,7,,,,Ibbie gf0156,2004,1,,f,√,yes (tuskless),,1,,
Aurora,gf0112,A,,1,,,3,20150530 photographed in close association ,20150530,7,,,,gf0112c,2008,1,,f,√,yes (tuskless),,1,,
,gf0056,O,,1,,,3,201210 seen leaning against her,2012,7,,,,gf0056,2005,,1,m,,yes,,,,
Isabella,gf0038,I,,1,,,3,seen in close association in 2011 as juvenile,20110828,9,,,,gf0039,2002,1,,f,,,,,,1
Camila,gf0004,C,,1,,,3,each time seen in gf0004’s company and on two occasions in close association within the group 20190930 and 20190929 - also with her on video footage in 20161024 when she looks pregnant check early photos,20161024,10,,,,gf0104,2006,1,,f,√,yes,1,,,
,gf0069,V,,1,,,3,20150729 photographed on trail cameras  with tuskless female 10 social-rubbing on her and another of about 7-8,20150729,10,,,,gf0069,2007,1,,f,√,yes (tuskless),,1,,
,gf0097,N,,1,,,3,20160623 standing right next to her in trail camera photo,20160623,10,,,,gf0097,2006,1,,f,√,yes (tuskless),,1,,
Corajosa,gf0054,C,,1,,,3,20131018 photographed following her all around. He may be more like a 2004 or 2005,20131018,10,,,,gm0145,2003,,1,m,,,1,,,
,gf0070,T,,1,,,3,20131012 seen with her in a small group,20131012,10,,,,gf0070c,2003,,1,m,√,yes,1,,,
